activity	number_of_companies	authorised_capital	paidup_capital
Manufacturing (Leather & products thereof)	4	3050000.0	1779550.0
Real Estate and Renting	461	8958785.24946	5583580.10846
Finance	223	44528699.5516	20250523.8117
Business Services	515	122932318.058	14793923.4369
Mining & Quarrying	70	745613214.286	372751247.286
Manufacturing (Textiles)	67	51830597.0149	34646046.5672
Electricity, Gas & Water companies	51	286586274.51	155779439.216
Manufacturing (Food stuffs)	303	13368976.8977	9523523.86139
Manufacturing (Paper & Paper products, Publishing, PRIVnting and reproduction of recorded media)	97	15114536.0825	9953523.81443
Manufacturing (Others)	36	10863888.8889	7767663.61111
Manufacturing (Machinery & Equipments)	84	14702976.1905	12396957.1429
Construction	554	9853953.06859	5805703.52166
Trading	1077	12614224.7911	7990807.42061
Manufacturing (Wood Products)	60	24870000.0	13518762.4833
NA	11	12818181.8182	8856636.36364
Manufacturing (Metals & Chemicals, and products thereof)	502	64913745.0199	28494980.757
Agriculture and Allied Activities	416	10018269.2308	6010596.1851
Community, personal & Social Services	342	18791825.848	11825918.3947
Insurance	2	350000.0	100000.0
Transport, storage and Communications	231	7655194.80519	5498172.29437
